Stock A,Stock B,Signal,Stock to Buy,Latest Z-Score
RADHI,NHPC,Buy,RADHI,-0.3933978962366616
RADHI,API,Buy,API,0.801783725661513
NHPC,KPCL,Hold,None,
NHPC,HDHPC,Hold,None,
KPCL,AKPL,Buy,KPCL,-0.7999999999893883
HDHPC,API,Buy,HDHPC,-0.9906219391372184
HDHPC,AKPL,Buy,AKPL,1.5072254871134156
HDHPC,UNHPL,Buy,UNHPL,0.21019395058307572
DHPL,AKPL,Buy,AKPL,1.5097236953095958
KBL,HDHPC,Buy,HDHPC,0.6895819688111098
KBL,UNHPL,Buy,UNHPL,0.5147070053557907
MBL,UNHPL,Buy,MBL,-0.3873389726011903
NYADI,KPCL,Hold,None,
RADHI,KPCL,Hold,None,
NHPC,HDHPC,Hold,None,
NHPC,AKPL,Buy,AKPL,1.640156422212203
HDHPC,UNHPL,Buy,UNHPL,0.396421344003958
DHPL,AKPL,Buy,AKPL,1.5097236953095958
RADHI,NHPC,Buy,RADHI,-0.3933978962366616
RADHI,API,Buy,API,0.801783725661513
NHPC,KPCL,Hold,None,
NHPC,HDHPC,Hold,None,
KPCL,AKPL,Buy,KPCL,-0.7999999999893883
HDHPC,API,Buy,HDHPC,-0.9906219391372184
HDHPC,AKPL,Buy,AKPL,1.5072254871134156
HDHPC,UNHPL,Buy,UNHPL,0.21019395058307572
DHPL,AKPL,Buy,AKPL,1.5097236953095958
SKBBL,SMFDB,Buy,SKBBL,-1.9429119578929037
RADHI,NHPC,Hold,None,
RADHI,AKPL,Buy,RADHI,-0.8174703398695278
NHPC,HDHPC,Hold,None,
RADHI,NHPC,Hold,None,
NHPC,HDHPC,Hold,None,
HRL,API,Buy,HRL,-1.1198164086429196
RADHI,NHPC,Hold,None,
HRL,API,Buy,HRL,-1.1198164086429196
RADHI,NHPC,Hold,None,
SKBBL,SMFDB,Buy,SKBBL,-1.9429119578929037
RADHI,NHPC,Hold,None,
NHPC,HDHPC,Hold,None,
RADHI,NHPC,Hold,None,
RADHI,AKPL,Buy,RADHI,-0.8174703398695278
NHPC,HDHPC,Hold,None,
KBL,HDHPC,Buy,HDHPC,0.6895819688111098
KBL,UNHPL,Buy,UNHPL,0.5147070053557907
MBL,UNHPL,Buy,MBL,-0.3873389726011903
NYADI,KPCL,Hold,None,
RADHI,KPCL,Hold,None,
NHPC,HDHPC,Hold,None,
NHPC,AKPL,Buy,AKPL,1.640156422212203
HDHPC,UNHPL,Buy,UNHPL,0.396421344003958
DHPL,AKPL,Buy,AKPL,1.5097236953095958
